Barangay,City,Province,Postal Code,Barangay Code
Battog,Sinait,Ilocos Sur,2733,PH023006
Battung,Tuao,Cagayan,3528,PH062807
Battut,Rizal,Cagayan,3526,PH06210S
Batu,Enrile,Cagayan,3501,PH06120H
Batu,Rizal,Cagayan,3526,PH062105
Batu,Passi City,Iloilo,5037,PH32320B
Batu,Siay,Zamboanga Sibugay,7006,PH461304
Batu-batu (Pob.),Panglima Sugala,Tawi Tawi,7501,PH720102
Batu-Parada,Santa Ana,Cagayan,3514,PH062309
Batuan,Ibajay,Aklan,5613,PH280608
Batuan,Balasan,Iloilo,5018,PH320504
Batuan,Duenas,Iloilo,5038,PH321609
Batuan,Pototan,Iloilo,5008,PH323405
Batuan,San Dionisio,Iloilo,5015,PH323504
Batuan,La Carlota City,Negros Occidental,6130,PH331604
Batuan,San Enrique,Negros Occidental,6104,PH332503
Batuan,Valladolid,Negros Occidental,6103,PH333004
Batuan,Ormoc City,Leyte,6541,PH403005
Batuan,Maasin City,Southern Leyte,6600,PH43070A
Batuan,Balabagan,Lanao del Sur,9302,PH690203
Batuan Ilaud,Oton,Iloilo,5020,PH323104
Batuan Ilaya,Oton,Iloilo,5020,PH323105
Batucan,Talacogon,Agusan del Sur,8510,PH74110G
Batug,Dulag,Leyte,6505,PH401304
Batug,Jaro,Leyte,6527,PH401804
Batug,Javier,Leyte,6511,PH401903
Batug,Macarthur,Leyte,6509,PH402401
Batuganding,Sarangani,Davao Occidental,8015,PH550501
Batuhan,Famy,Laguna,4021,PH190806
Batuhan,Masbate City,Masbate,5400,PH261107
Batuhan,Pola,Oriental Mindoro,5206,PH801003
Batuhon Dacu,Dauin,Negros Oriental,6217,PH360905
Batuila,Baleno,Masbate,5413,PH260203
Batulaki,Glan,Sarangani,9517,PH580203
Batulawan,Pikit,North Cotabato,9409,PH571207
Batuli,Pasuquin,Ilocos Norte,2917,PH011701
Batunan,Tagbina,Surigao del Sur,8308,PH771701
Batungal,Maluso,Basilan,7303,PH680302
Batungan,Tungawan,Zamboanga Sibugay,7018,PH46160E
Baua,Gonzaga,Cagayan,3513,PH061403
Bauan,Amulung,Cagayan,3505,PH06040C
Bauan East,Solana,Cagayan,3503,PH062706
Bauan West,Solana,Cagayan,3503,PH062710
Baubo,Maria Aurora,Aurora,3202,PH100709
Baucan Norte,Balilihan,Bohol,6342,PH340601
Baucan Sur,Balilihan,Bohol,6342,PH340602
Baucawe,Lianga,Surigao del Sur,8307,PH771104
Baud,President Carlos P. Garcia,Bohol,6346,PH343503
Baug,Urbiztondo,Pangasinan,2414,PH044504
Baugan,Lumba-Bayabao,Lanao del Sur,9703,PH691005
Baugo,Bontoc,Southern Leyte,6604,PH430202
Baugo,Maasin City,Southern Leyte,6600,PH43070B
Bauhugan,Dimiao,Bohol,6305,PH342007
Baui,Angadanan,Isabela,3307,PH070207
Baukbauk Pob.,Balingoan,Misamis Oriental,9011,PH510302
Baung,Piat,Cagayan,3527,PH06200E
Baungis,Lantawan,Basilan,7301,PH680202
Baungos,Lamitan City,Basilan,7302,PH68010W
Bauno Garing,Panglima Sugala,Tawi Tawi,7501,PH720109
Baunoh,Old Panamao,Sulu,7402,PH710704
Baunos,San Isidro,Bohol,6345,PH343702
Bautista,Caba,La Union,2502,PH030901
Bautista,San Agustin,Isabela,3314,PH072701
Bautista,San Pablo City,Laguna,4000,PH19240Z
Bautista,Jovellar,Albay,4515,PH220509
Bautista,Labo,Camarines Norte,4604,PH230608
Bautista,Sapang Dalaga,Misamis Occidental,7212,PH501301
Bauyan,Sultan Naga Dimaporo,Lanao del Norte,9215,PH490604
Baviera,Sagay City,Negros Occidental,6122,PH332303
Bawa,Gerona,Tarlac,2302,PH150605
Bawang,San Remigio,Antique,5714,PH291409
Bawang,Laoang,Northern Samar,6411,PH410805
Bawang,Jiabong,Samar,6701,PH420901
Bawang,Buug,Zamboanga Sibugay,7009,PH460202
Bawang,Madamba,Lanao del Sur,9314,PH691303
Bawani,Mawab,Davao de Oro,8802,PH560602
Bawanta,Bauang,La Union,2501,PH030706
Bawer,Malasiqui,Pangasinan,2421,PH04240G
Bawi,Padre Garcia,Batangas,4224,PH172003
Bawisan,Parang,Sulu,7408,PH710904
Bawo,Sogod,Cebu,6007,PH354704
Bawod (Pob.),San Isidro,Leyte,6535,PH403403
Bay,Ligao City,Albay,4504,PH22080B
Bay-ang,Batan,Aklan,5615,PH280403
Bay-ang,Ajuy,Iloilo,5012,PH320106
Bay-ang,Ubay,Bohol,6315,PH344602
Bay-ang,San Jorge,Samar,6707,PH42250X
Bay-ang,Cabadbaran City,Agusan del Norte,8605,PH730302
Baya,Ragay,Camarines Sur,4410,PH243007
Baya,Ganassi,Lanao del Sur,9311,PH69080J
Baya-baya,Tabina,Zamboanga del Sur,7034,PH451803
Bayaan,Dolores,Abra,2801,PH620701
Bayabao,Tangcal,Lanao del Norte,9220,PH492102
Bayabao,Ditsaan-Ramain,Lanao del Sur,9713,PH692303
Bayabao Poblacion,Butig,Lanao del Sur,9305,PH690707
Bayabas,San Gabriel,La Union,2513,PH031504
Bayabas,Dipaculao,Aurora,3203,PH100601
Bayabas,Dona Remedios Trinidad,Bulacan,3009,PH122401
Bayabas,Lopez,Quezon,4316,PH201609
Bayabas,Labo,Camarines Norte,4604,PH230609
Bayabas,Valladolid,Negros Occidental,6103,PH333005
Bayabas,Danao City,Cebu,6004,PH352302
Bayabas,Abuyog,Leyte,6510,PH40010A
Bayabas,Dagami,Leyte,6515,PH401205
Bayabas,Aurora,Zamboanga del Sur,7020,PH45010D
Bayabas,Cagayan De Oro City,Misamis Oriental,9000,PH510513
Bayabas,Davao City,Davao del Sur,8000,PH53020D
Bayabas,Nabunturan (Capital),Davao de Oro,8800,PH56090T
Bayabas,Malibcong,Abra,2820,PH621501
Bayabas,Sablan,Benguet,2614,PH641205
Bayabas,Upi,Maguindanao,9602,PH701402
Bayabas,Cabadbaran City,Agusan del Norte,8605,PH730303
Bayabason,Maramag,Bukidnon,8714,PH471503
Bayabat,Amulung,Cagayan,3505,PH06040D
Bayabo,Delfin Albano,Isabela,3326,PH071804
Bayabo East,Tumauini,Isabela,3325,PH073708
Bayacabac,Maribojoc,Bohol,6336,PH343205
Bayag Norte,Leon,Iloilo,5026,PH32260G
Bayag Sur,Leon,Iloilo,5026,PH32260H
Bayakbakin,Torrijos,Marinduque,4903,PH780602
Bayambang,Infanta,Pangasinan,2412,PH042003
Bayan,Passi City,Iloilo,5037,PH32320C
Bayan,Marihatag,Surigao del Sur,8306,PH771405
Bayan (Pob.),Orani,Bataan,2112,PH110903
Bayan Luma I,Imus City,Cavite,4103,PH180909
Bayan Luma II,Imus City,Cavite,4103,PH180913
Bayan Luma III,Imus City,Cavite,4103,PH180914
Bayan Luma IV,Imus City,Cavite,4103,PH180915
Bayan Luma IX,Imus City,Cavite,4103,PH18091A
Bayan Luma V,Imus City,Cavite,4103,PH180916
Bayan Luma VI,Imus City,Cavite,4103,PH180917
Bayan Luma VII,Imus City,Cavite,4103,PH180918
Bayan Luma VIII,Imus City,Cavite,4103,PH180919
Bayan Park East,Baguio City,Benguet,2600,PH640209
Bayan Park Village,Baguio City,Benguet,2600,PH640230
Bayan Park West,Baguio City,Benguet,2600,PH640208
Bayan-bayan,Labo,Camarines Norte,4604,PH23060A
Bayan-bayanan,Dinalupihan,Bataan,2110,PH110417
Bayan-bayanan,Malabon City,Metro Manila,1470,PH612103
Bayanan,San Pascual,Batangas,4204,PH172605
Bayanan,Bacoor City,Cavite,4102,PH180304
Bayanan,Muntinlupa City,Metro Manila,1772,PH612602
Bayanan,Baco,Oriental Mindoro,5201,PH80010R
Bayanan,Pola,Oriental Mindoro,5206,PH801004
Bayanan I,Calapan City,Oriental Mindoro,5200,PH800505
Bayanan II,Calapan City,Oriental Mindoro,5200,PH800506
Bayandong,Bacacay,Albay,4509,PH220105
Bayanga,Cagayan De Oro City,Misamis Oriental,9000,PH510514
Bayanga Norte,Matanog,Maguindanao,9613,PH700801
Bayanga Sur,Matanog,Maguindanao,9613,PH700802
Bayani,Naujan,Oriental Mindoro,5204,PH80080A
Bayanihan,Maria Aurora,Aurora,3202,PH10070A
Bayanihan,Gapan City,Nueva Ecija,3105,PH130801
Bayanihan,Gutalac,Zamboanga del Norte,7118,PH44230E
Bayanihan,Quezon City,Metro Manila,1109,PH61180E
Bayanihan,Libjo,Dinagat Islands,8414,PH750403
Bayanihan (Pob.),Mabitac,Laguna,4020,PH191408
Bayanihan (Pob.),Dolores,Quezon,4326,PH200903
Bayanihan (Pob.),San Narciso,Quezon,4313,PH20360E
Bayanihan Pob.,San Fernando,Masbate,5416,PH26180L
Bayanihan Pob.,Butuan City,Agusan del Norte,8600,PH73020G
Bayao,Pinukpuk,Kalinga,3806,PH660407
Bayaoas,Aguilar,Pangasinan,2415,PH040201
Bayaoas,Urbiztondo,Pangasinan,2414,PH044505
Bayaoas,Urdaneta City,Pangasinan,2428,PH044604
Bayaquitos,Nagcarlan,Laguna,4002,PH19170C
Bayas,Estancia,Iloilo,5017,PH321802
Bayasong,Pilar,Sorsogon,4714,PH271205
Bayasong,Lutayan,Sultan Kudarat,9803,PH600702
Bayate,Liliw,Laguna,4004,PH191002
Bayawa,President Quirino,Sultan Kudarat,9804,PH601003
Bayawahan,Sevilla,Bohol,6347,PH343901
Bayawang,Rosario,Batangas,4225,PH172105
Bayawas,Donsol,Sorsogon,4715,PH270607
Bayawas,Pilar,Sorsogon,4714,PH271206
Baybay,Santo Tomas,La Union,2505,PH031705
Baybay,Aguilar,Pangasinan,2415,PH040202
Baybay,Angat,Bulacan,3012,PH120102
Baybay,Malinao,Albay,4512,PH221006
Baybay,Tiwi,Albay,4513,PH221803
Baybay,Balud,Masbate,5412,PH260301
Baybay,Makato,Aklan,5611,PH281105
Baybay,Tangalan,Aklan,5612,PH281702
Baybay,Pandan,Antique,5712,PH291104
Baybay,Roxas City,Capiz,5800,PH30140J
Baybay,San Joaquin,Iloilo,5024,PH323707
Baybay,Catarman (Capital),Northern Samar,6400,PH410503
Baybay,Kolambugan,Lanao del Norte,9207,PH490802
Baybay,Bonifacio,Misamis Occidental,7215,PH500303
Baybay,Alubijid,Misamis Oriental,9018,PH510101
Baybay,Malalag,Davao del Sur,8010,PH530701
Baybay,Cateel,Davao Oriental,8205,PH540505
Baybay,Burgos,Surigao del Norte,8424,PH760301
Baybay,Surigao City,Surigao del Norte,8400,PH761907
Baybay (Pob.),Caramoran,Catanduanes,4808,PH250401
Baybay (Pob.),Sulat,Eastern Samar,6815,PH392202
Baybay (Pob.),Carigara,Leyte,6529,PH401106
Baybay (Pob.),Laoang,Northern Samar,6411,PH410806
Baybay (Pob.),Basey,Samar,6720,PH42020Z
Baybay (Pob.),Liloy,Zamboanga del Norte,7115,PH440602
Baybay (Pob.),Carrascal,Surigao del Sur,8318,PH770704
Baybay District (Pob.),Gamay,Northern Samar,6422,PH41070M
Baybay Lopez,Binmaley,Pangasinan,2417,PH041305
Baybay Norte,Sual,Pangasinan,2403,PH044202
Baybay Norte (Pob.),Miagao,Iloilo,5023,PH32280F
Baybay Polong,Binmaley,Pangasinan,2417,PH041306
Baybay San Roque,Ozamiz City,Misamis Occidental,7200,PH501019
Baybay Santa Cruz,Ozamiz City,Misamis Occidental,7200,PH501006
Baybay Sur,Sual,Pangasinan,2403,PH044203
Baybay Sur (Pob.),Miagao,Iloilo,5023,PH32280G
Baybay Tanza,Iloilo City,Iloilo,5000,PH32210F
Baybay Triunfo,Ozamiz City,Misamis Occidental,7200,PH501007
Baybayabas,Santiago,Ilocos Sur,2707,PH022704
Baybayabas,Talugtug,Nueva Ecija,3118,PH133102
Baybayading,Salcedo,Ilocos Sur,2711,PH021605
Baybayaoas,Mayantoc,Tarlac,2304,PH150802
Baybaydagat Pob.,San Fernando,Masbate,5416,PH26180H
Baybayin,Rosario,Batangas,4225,PH172106
Baybayin (Pob.),Los Banos,Laguna,4030,PH191105
Baybayog,Alcala,Cagayan,3507,PH060206
Baybayon,Mabini,Bohol,6313,PH343105
Baye,Mambusao,Capiz,5807,PH300807
Baye,Asturias,Cebu,6042,PH350606
Bayebaye,Jamindan,Capiz,5808,PH300606
Bayho,Lope De Vega,Northern Samar,6403,PH412401
Baylanan,Talakag,Bukidnon,8708,PH472002
Baylao,Mambajao (Capital),Camiguin,9100,PH480404
Baylimango,Dapitan City,Zamboanga del Norte,7101,PH440107
Baylo,Monkayo,Davao de Oro,8805,PH560704
Baylo,San Luis,Agusan del Sur,8511,PH740902
Bayo,Iguig,Cagayan,3504,PH061504
Bayo,Calbayog City,Samar,6710,PH42030D
Bayo Grande,Anini-Y,Antique,5717,PH290101
Bayo Pequeno,Anini-Y,Antique,5717,PH290102
Bayobay,Borongan City,Eastern Samar,6800,PH390409
Bayog,Burgos,Ilocos Norte,2410,PH010603
Bayog,Los Banos,Laguna,4030,PH191106
Bayog,Dumarao,Capiz,5812,PH300407
Bayog,President Carlos P. Garcia,Bohol,6346,PH343504
Bayog,Canlaon City,Negros Oriental,6223,PH360801
Bayog,Ormoc City,Leyte,6541,PH403034
Bayog,Daram,Samar,6722,PH420606
Bayog,Motiong,Samar,6702,PH421205
Bayog,Tagoloan Ii,Lanao del Sur,9321,PH693702
Bayogo,Madrid,Surigao del Sur,8316,PH771302
Bayombon,Masbate City,Masbate,5400,PH261108
Bayong,Guindulman,Bohol,6310,PH342303
Bayong,Pilar,Bohol,6321,PH343404
Bayong,Balamban,Cebu,6041,PH350804
Bayongan,San Miguel,Bohol,6323,PH343801
Bayongon,Sampaloc,Quezon,4329,PH203205
Bayorbor,Mataasnakahoy,Batangas,4223,PH171805
Bayotbot,San Jose,Occidental Mindoro,5100,PH79100E
Bayoyong,Basista,Pangasinan,2422,PH040902
Bayto,Santa Cruz,Zambales,2213,PH161304
Bayubay Norte,San Vicente,Ilocos Sur,1101,PH022102
Bayubay Sur,San Vicente,Ilocos Sur,1101,PH022103
Bayuco,Lambunao,Iloilo,5042,PH322309
Bayuco,Tigbauan,Iloilo,5021,PH32420K
Bayudbud,Tuy,Batangas,4214,PH173402
Bayugan 2,San Francisco,Agusan del Sur,8501,PH740802
Bayugan 3,Rosario,Agusan del Sur,8504,PH740701
Bayugao Este,Santa Cruz,Ilocos Sur,1104,PH022405
Bayugao Oeste,Santa Cruz,Ilocos Sur,1104,PH022406
Bayugo,Meycauayan City,Bulacan,3020,PH121205
Bayugo,Jala-Jala,Rizal,1990,PH210702
Bayuin,Socorro,Oriental Mindoro,5207,PH801403
Bayunan,San Joaquin,Iloilo,5024,PH323708
Bayuti,Boac (Capital),Marinduque,4900,PH78010D
Bayuyan,President Roxas,Capiz,5803,PH301303
Bayuyan,Estancia,Iloilo,5017,PH321803
Bayyo,Bontoc (Capital),Mountain Province,2616,PH670404
Bazal,Maria Aurora,Aurora,3202,PH10070B
Bazar,Sallapadan,Abra,2818,PH622001
Banacao,Bangued (Capital),Abra,2800,PH620103
Banadero,Polillo,Quezon,4339,PH202904
Banadero,Daraga,Albay,4501,PH220306
Banag,Daraga,Albay,4501,PH220307
Bano (Pob.),Pakil,Laguna,4017,PH192001
Bebe Anac,Masantol,Pampanga,2017,PH141204
Bebe Matua,Masantol,Pampanga,2017,PH141205
Bebeladan,El Nido,Palawan,5313,PH811204
Beberon,San Fernando,Camarines Sur,4415,PH243202
Bebito,Lopez,Quezon,4316,PH20160A
Beckel,La Trinidad (Capital),Benguet,2601,PH641006
Becques,Tagudin,Ilocos Sur,2714,PH023307
Becuran,Santa Rita,Pampanga,2002,PH142001
Bedbed,Mankayan,Benguet,2608,PH641102
Beddeng,San Narciso,Zambales,2205,PH161202
Beddeng Daya,Vigan City,Ilocos Sur,2700,PH02340B
Beddeng Laud,Vigan City,Ilocos Sur,2700,PH02340A
Bega,San Carlos City,Pangasinan,2420,PH04320E
Begaho,Calbayog City,Samar,6710,PH42030E
Begajo Norte,Libmanan,Camarines Sur,4407,PH24180B
Begajo Sur,Libmanan,Camarines Sur,4407,PH24180C
Begang,Isabela City,Basilan,7300,PH681304
Begia,Cawayan,Masbate,5409,PH260601
Begong,Tigbao,Zamboanga del Sur,7043,PH452801
Begonia,Viga,Catanduanes,4805,PH251005
Beguin,Bulan,Sorsogon,4706,PH27020C
Beguito Nuevo,Libmanan,Camarines Sur,4407,PH241809
Beguito Viejo,Libmanan,Camarines Sur,4407,PH24180A
Behia,Tiaong,Quezon,4325,PH204007
Behia,Magallanes,Sorsogon,4705,PH271008
Behind The Clouds,Batuan,Bohol,6318,PH34070E
Bekigan,Sadanga,Mountain Province,2617,PH670804
Bel-Air,Makati City,Metro Manila,1209,PH612502
Bel-Cruz,Lupi,Camarines Sur,4409,PH241904
Bel-is,Buruanga,Aklan,5609,PH280504
Belaat,Tineg,Abra,2822,PH622505
Belance,Dupax del Norte,Nueva Vizcaya,3706,PH080701
Belatan Halu,Panglima Sugala,Tawi Tawi,7501,PH72010A
Belbel,Botolan,Zambales,2202,PH16010Q
Belen,San Ildefonso,Ilocos Sur,2728,PH021903
Belen,General Mamerto Natividad,Nueva Ecija,3125,PH130904
Belen,Tiwi,Albay,4513,PH221804
Belen,Calabanga,Camarines Sur,4405,PH240804
Belen,Banate,Iloilo,5010,PH320603
Belen,Miagao,Iloilo,5023,PH32280H
Belen,Leyte,Leyte,6533,PH402305
Belen,Palompon,Leyte,6538,PH403202
Belen (Pob.),Goa,Camarines Sur,4422,PH241505
Beleng,Bayambang,Pangasinan,2423,PH04110F
Beleng-Belis,Kapangan,Benguet,2613,PH640802
Belis,Kapatagan,Lanao del Norte,9214,PH490505
Belisong,Tabontabon,Leyte,6504,PH403804
Bell (Pob.),Magarao,Camarines Sur,4403,PH242002
Bella,Alicia,Zamboanga Sibugay,7040,PH460103
Bella Luz,San Mateo,Isabela,3318,PH073203
Belmonte,Laak,Davao de Oro,8810,PH56020M
Belmonte (Pob.),San Andres,Catanduanes,4810,PH250807
Belong Manubal,Tinglayan,Kalinga,3804,PH660804
Belwang,Lupi,Camarines Sur,4409,PH241908
Belwang,Sadanga,Mountain Province,2617,PH670802
Bemposa,Aurora,Zamboanga del Sur,7020,PH45010E
Ben-agan (Pob.),Batac City,Ilocos Norte,2906,PH010508
Benben,La Paz,Abra,2314,PH620801
Bendita I,Magallanes,Cavite,4113,PH181202
Bendita II,Magallanes,Cavite,4113,PH18120F
Benedicto,Floridablanca,Pampanga,2006,PH140604
Benedicto,Iloilo City,Iloilo,5000,PH32210G
Beneg,Botolan,Zambales,2202,PH160103
Benembengan Lower,Sumisip,Basilan,7305,PH680402
Benembengan Upper,Sumisip,Basilan,7305,PH68040J
Bengkol,South Ubian,Tawi Tawi,7504,PH720602
Benglen,Basilisa,Dinagat Islands,8413,PH75010J
Benguet,Echague,Isabela,3309,PH071207
Benguet,Gubat,Sorsogon,4710,PH270705
Benhaan,Mambajao (Capital),Camiguin,9100,PH480405
Benigno Aquino,Hinatuan,Surigao del Sur,8310,PH77090M
Benigno Aquino Jr.,Sindangan,Zamboanga del Norte,7112,PH441818
"Benigno Aquino, Jr.",Norala,South Cotabato,9508,PH59040E
Benigno S. Aquino,Bulan,Sorsogon,4706,PH27020R
"Benigno S. Aquino, Jr.",Palapag,Northern Samar,6421,PH41140Y
Benigwayan,Alubijid,Misamis Oriental,9018,PH510102
Benit,Labo,Camarines Norte,4604,PH23060B
Benit,Malitbog,Southern Leyte,6603,PH430903
Benit,San Ricardo,Southern Leyte,6617,PH431501
Benit,Sogod,Southern Leyte,6606,PH431701
Benitez (Pob.),Banga,South Cotabato,9511,PH590101
Benitinan,San Fernando,Masbate,5416,PH261802
Beniton,Bontoc,Southern Leyte,6604,PH430203
Benjamin Tirona,Gen. Mariano Alvarez,Cavite,4117,PH182307
Benli,Bulalacao,Oriental Mindoro,5214,PH800403
Benliw,Ubay,Bohol,6315,PH344604
Benog,Isabel,Leyte,6539,PH401705
Benolen,Datu Odin Sinsuat,Maguindanao,9601,PH700606
Benolho,Albuera,Leyte,6542,PH400303
Benoligan,Kidapawan City,North Cotabato,9400,PH570405
Benoni,Mahinog,Camiguin,9101,PH480301
Benowangan,Borongan City,Eastern Samar,6800,PH39040A
Bensican,San Nicolas,Pangasinan,2447,PH043601
Bentahon,Esperanza,Agusan del Sur,8513,PH740303
Bentangan,Carmen,North Cotabato,9408,PH570202
Benteng-Sapilang,Rosario,La Union,2506,PH031307
Benticayan,Baras,Catanduanes,4803,PH250204
Bentig,Calape,Bohol,6328,PH341004
Bentigan,Cuyapo,Nueva Ecija,3117,PH130604
Bentuco,Gubat,Sorsogon,4710,PH270706
Bentung,Polomolok,South Cotabato,9504,PH590501
Benuatan,Dinas,Zamboanga del Sur,7030,PH450402
Bequi-Walin,Lidlidda,Ilocos Sur,2723,PH021102
Berada,Kidapawan City,North Cotabato,9400,PH570406
Berang,Santa Rosa,Nueva Ecija,3101,PH13280K
Beray,Dinas,Zamboanga del Sur,7030,PH450403
Beray,Kinoguitan,Misamis Oriental,9010,PH511201
Bergante,Mambusao,Capiz,5807,PH300808
Beri,Barbaza,Antique,5706,PH290203
Beri,Arteche,Eastern Samar,6822,PH390104
Beri,Calbiga,Samar,6715,PH420403
Beri,Motiong,Samar,6702,PH421206
Berinayan,Laurel,Batangas,4221,PH171103
Beriran,Gubat,Sorsogon,4710,PH270707
Bernad,Clarin,Misamis Occidental,7201,PH500501
Bernaldo A. Julagting,Patnongon,Antique,5702,PH291206
Bernardo District (Pob.),Cabanatuan City,Nueva Ecija,3100,PH13030C
Bernardo Pulido,Gen. Mariano Alvarez,Cavite,4117,PH182308
Berong,Quezon,Palawan,5304,PH811703
Bersamin,Alcala,Pangasinan,2425,PH040403
Berseba,Bayugan City,Agusan del Sur,8502,PH74010M
Bershiba,Kitaotao,Bukidnon,8716,PH470903
Bertese,Quezon,Nueva Ecija,3113,PH132201
Beruar,Tamparan,Lanao del Sur,9704,PH692512
Berwar,Tangcal,Lanao del Norte,9220,PH492103
Besalan,Santa Cruz,Ilocos Sur,1104,PH022407
Besao East,Besao,Mountain Province,2618,PH670304
Besao West,Besao,Mountain Province,2618,PH670305
Besigan,Cagayan De Oro City,Misamis Oriental,9000,PH510515
Beslig,Gandara,Samar,6706,PH420702
Besong,Kayapa,Nueva Vizcaya,3708,PH081009
Bessang,Burgos,Ilocos Sur,2410,PH020404
Bessang,Allacapan,Cagayan,3523,PH060301
Bet-ang,Balaoan,La Union,2517,PH030505
Beta,Tubaran,Lanao del Sur,9304,PH692702
Beta,Lumbaca-Unayan,Lanao del Sur,9707,PH694002
Betag,La Trinidad (Capital),Benguet,2601,PH641008
Betahon,Lugait,Misamis Oriental,9025,PH511602
Betania,Laur,Nueva Ecija,3129,PH131305
Betaog,Lawaan,Eastern Samar,6813,PH391201
Betaug,Daram,Samar,6722,PH420608
Betayan,Malabang,Lanao del Sur,9300,PH691406
Betes,Aliaga,Nueva Ecija,3111,PH130101
Bethel,Victoria,Oriental Mindoro,5205,PH801506
Bethlehem,Polanco,Zamboanga del Norte,7106,PH441003
Beti,Aritao,Nueva Vizcaya,3704,PH080202
Betinan,San Miguel,Zamboanga del Sur,7029,PH451601
Beto,Taft,Eastern Samar,6816,PH392302
Beton,Taytay,Palawan,5312,PH812006
Betwagan,Sadanga,Mountain Province,2617,PH670803
Beverly Hills,Antipolo City,Rizal,1870,PH21020A
Beyaba-Damag,Marawi City,Lanao del Sur,9700,PH691607
BGH Compound,Baguio City,Benguet,2600,PH64022Z
Bgy. 1 - Em's Barrio (Pob.),Legazpi City,Albay,4500,PH220605
Bgy. 1 Pob.,San Miguel,Iloilo,5025,PH323801
Bgy. 10,San Miguel,Iloilo,5025,PH323802
Bgy. 10 - Cabugao,Legazpi City,Albay,4500,PH22061Z
Bgy. 11 - Maoyod Pob.,Legazpi City,Albay,4500,PH220606
Bgy. 11 Pob.,San Miguel,Iloilo,5025,PH323803
Bgy. 12 - Tula-tula (Pob.),Legazpi City,Albay,4500,PH220607
Bgy. 12 Pob.,San Miguel,Iloilo,5025,PH323804
Bgy. 13 - Ilawod West Pob.,Legazpi City,Albay,4500,PH220608
Bgy. 13 Pob.,San Miguel,Iloilo,5025,PH323805
Bgy. 14 - Ilawod Pob.,Legazpi City,Albay,4500,PH220609
Bgy. 14 Pob.,San Miguel,Iloilo,5025,PH323806
Bgy. 15 - Ilawod East Pob.,Legazpi City,Albay,4500,PH22060A
Bgy. 15 Pob.,San Miguel,Iloilo,5025,PH323807
Bgy. 16 - Kawit-East Washington Drive (Pob.),Legazpi City,Albay,4500,PH22060B
Bgy. 16 Pob.,San Miguel,Iloilo,5025,PH323808
"Bgy. 17 - Rizal Street., Ilawod (Pob.)",Legazpi City,Albay,4500,PH22060C
Bgy. 18 - Cabagnan West (Pob.),Legazpi City,Albay,4500,PH22060F
Bgy. 19 - Cabagnan,Legazpi City,Albay,4500,PH22060D
Bgy. 2 - Em's Barrio South (Pob.),Legazpi City,Albay,4500,PH22060E
Bgy. 2 Pob.,San Miguel,Iloilo,5025,PH323809
Bgy. 20 - Cabagnan East (Pob.),Legazpi City,Albay,4500,PH22060K
Bgy. 21 - Binanuahan West (Pob.),Legazpi City,Albay,4500,PH22060G
Bgy. 22 - Binanuahan East (Pob.),Legazpi City,Albay,4500,PH22060H
Bgy. 23 - Imperial Court Subd. (Pob.),Legazpi City,Albay,4500,PH22060J
Bgy. 24 - Rizal Street,Legazpi City,Albay,4500,PH220620
Bgy. 25 - Lapu-lapu (Pob.),Legazpi City,Albay,4500,PH22060L
Bgy. 26 - Dinagaan (Pob.),Legazpi City,Albay,4500,PH22060M
Bgy. 27 - Victory Village South (Pob.),Legazpi City,Albay,4500,PH22060N
Bgy. 28 - Victory Village North (Pob.),Legazpi City,Albay,4500,PH22060P
Bgy. 29 - Sabang (Pob.),Legazpi City,Albay,4500,PH22060Q
Bgy. 3 - Em's Barrio East (Pob.),Legazpi City,Albay,4500,PH22060R
Bgy. 3 Pob.,San Miguel,Iloilo,5025,PH32380A
Bgy. 30 - Pigcale (Pob.),Legazpi City,Albay,4500,PH22060T
Bgy. 31 - Centro-Baybay (Pob.),Legazpi City,Albay,4500,PH22060U
Bgy. 32 - San Roque,Legazpi City,Albay,4500,PH22061V
Bgy. 33 - PNR-Penaranda St.-Iraya (Pob.),Legazpi City,Albay,4500,PH22060V
Bgy. 34 - Oro Site-Magallanes St. (Pob.),Legazpi City,Albay,4500,PH22060W
Bgy. 35 - Tinago (Pob.),Legazpi City,Albay,4500,PH22060X
Bgy. 36 - Kapantawan (Pob.),Legazpi City,Albay,4500,PH22060S
Bgy. 37 - Bitano (Pob.),Legazpi City,Albay,4500,PH22060Y
Bgy. 38 - Gogon,Legazpi City,Albay,4500,PH22061H
Bgy. 39 - Bonot (Pob.),Legazpi City,Albay,4500,PH22060Z
Bgy. 4 - Sagpon Pob.,Legazpi City,Albay,4500,PH220610
Bgy. 4 Pob.,San Miguel,Iloilo,5025,PH32380B
Bgy. 40 - Cruzada,Legazpi City,Albay,4500,PH22061D
Bgy. 41 - Bogtong,Legazpi City,Albay,4500,PH220618
Bgy. 42 - Rawis,Legazpi City,Albay,4500,PH22061S
Bgy. 43 - Tamaoyan,Legazpi City,Albay,4500,PH22061W
Bgy. 44 - Pawa,Legazpi City,Albay,4500,PH22061Q
Bgy. 45 - Dita,Legazpi City,Albay,4500,PH22061F
Bgy. 46 - San Joaquin,Legazpi City,Albay,4500,PH22061U
Bgy. 47 - Arimbay,Legazpi City,Albay,4500,PH220601
Bgy. 48 - Bagong Abre,Legazpi City,Albay,4500,PH220603
Bgy. 49 - Bigaa,Legazpi City,Albay,4500,PH220617
Bgy. 5 - Sagmin Pob.,Legazpi City,Albay,4500,PH220611
